path,ball_exists,x,y,w,h
0095_jpg.rf.415ed027a49aba45717ec253c27f77bc.jpg,1,440,7,142,149
0167_jpg.rf.414f200910e07712e2d347dd7d59870e.jpg,1,323,17,69,67
0617_jpg.rf.41b4e1568b98053433cefeb36d24be23.jpg,1,438,21,20,21
0115_png_jpg.rf.42683f1ac89a731e7c82400e3b9a3d40.jpg,1,87,31,42,44
0073_jpg.rf.42d0da3223aa7324057057db9a84bf32.jpg,1,135,14,158,156
0262_jpg.rf.421ce6ec6ba457182bcc71d28c9c3910.jpg,1,138,19,19,20
0375_png_jpg.rf.42fbd1087763e0882b5dd7c8ab3f0ebe.jpg,1,270,21,20,20
0731_jpg.rf.425421566d891cd30b502f07b5447af7.jpg,1,484,20,23,25
0714_jpg.rf.43566a320fee08d852f353fc183851a0.jpg,1,95,20,57,58
0854_jpg.rf.43d0ee7dec328c64f6077adf038ca531.jpg,1,333,14,79,81
0916_jpg.rf.43e009d1cb9864a06a6a78cc2bc71499.jpg,1,149,18,51,53
0712_png_jpg.rf.4477ec097fd8531f5f4c6f4e4a64eee8.jpg,1,298,28,37,44
0323_jpg.rf.44a84044ff5f4d9a9021ffabc313b702.jpg,1,339,13,211,216
0711_jpg.rf.44b5af6c2d8d8f7fa630b5d72f80702c.jpg,1,116,19,91,93
0435_jpg.rf.453c8fe28635d0c66f3cff0eebefec39.jpg,1,23,24,30,31
0995_png_jpg.rf.451e5235a2529a58a5e778d2269ea93e.jpg,1,305,58,152,156
0614_jpg.rf.455940679e3d2ae1fc95c2388597ad71.jpg,1,264,20,58,60
1047_jpg.rf.4578326b18c89f2b00a0dea40715462c.jpg,1,243,0,381,264
0165_jpg.rf.462487e3278ae101d638de0b1a7425d3.jpg,1,17,15,87,92
0465_jpg.rf.467525d386fac76a998c9f5718f2fe70.jpg,1,223,16,122,122
0338_jpg.rf.47220fa7f6dbda6081a4da590d06a7e1.jpg,1,141,21,32,35
0323_jpg.rf.4770b02fa44736a67971a0aad68d58c2.jpg,1,339,13,211,216
0170_jpg.rf.47a83dffe42a603d5413e884e06d7dbb.jpg,1,186,0,294,263
0099_jpg.rf.484b375139c7d19976d1c8c3491577d6.jpg,1,263,7,377,256
0468_jpg.rf.48b0ef05e752c12e07930812b32e827a.jpg,1,498,19,44,44
0727_png_jpg.rf.489f1e6d328934fd7e6fdb1d49ade9e3.jpg,1,451,36,60,57
0160_png_jpg.rf.48c56326b59f2f3fc00bc9232272eadb.jpg,1,159,24,326,240
0268_png_jpg.rf.493c00fafb144baee02f11e4f63e72d8.jpg,1,96,54,116,120
0706_jpg.rf.49a5ae5c97e35b4030aac686db2a5c21.jpg,1,307,13,225,230
0156_png_jpg.rf.498cb6bd6df7bb0fcdbb4d8b9ae9d1fb.jpg,1,263,25,120,120
0338_jpg.rf.49734203d8d1bda68a7e5b1f84eb47e9.jpg,1,467,21,32,35
0466_jpg.rf.49d5d34af7753345f6b7a584cf986553.jpg,1,439,18,56,55
0768_png_jpg.rf.4a1f20e10e26c300c50525c241c792ec.jpg,1,226,19,155,165
1031_jpg.rf.4a10d21f4652949d6565f16bc65add04.jpg,1,212,22,160,159
0433_jpg.rf.4a23334720fab3d9c1dc2b2b412b3183.jpg,1,335,0,305,263
0589_jpg.rf.4a0768e4da3b22988ba232bf4f9016f1.jpg,1,164,20,24,24
0361_png_jpg.rf.4a6042ce47c6a9e3c4d54282a5e4f1e6.jpg,1,205,33,74,73
0625_jpg.rf.4a97df52eace0499aaa914e9ab25a31c.jpg,1,300,18,86,86
1214_jpg.rf.4b258ccb2aad62e77a190084375d8058.jpg,1,277,16,207,210
0973_jpg.rf.4b1b50e4971dac0bdafe600fd7a1af6b.jpg,1,314,18,56,56
0703_jpg.rf.4bffe4c2dd91ba9a5c360e386be560c3.jpg,1,460,20,73,77
0020_png_jpg.rf.4d2d2cdf0a4fdeeab36418042516ecf9.jpg,1,409,25,72,76
0215_jpg.rf.4dabaec8b9f34b4f15f0a59ef0a3b3e4.jpg,1,508,20,23,23
0995_png_jpg.rf.4dda3436c92ebf49d1d1e809962bae71.jpg,1,184,58,152,156
0305_jpg.rf.4db22b9ef80d45dde7b8adb1c0783c59.jpg,1,467,0,173,264
0590_jpg.rf.4dc9aeee70689eda1c00f9fdc52daf3d.jpg,1,344,19,47,49
1075_jpg.rf.4e24488f7c00f6c0faff549cc63f63b0.jpg,1,10,0,276,264
0276_jpg.rf.4d9e3ea085d34fb0aba06360e74354a0.jpg,1,185,7,148,148
1068_jpg.rf.4e4b91ccccf8c2a68c26f35e5f0ba38e.jpg,1,100,3,203,209
0792_jpg.rf.4e824dab2785f8e80afb8842c584b390.jpg,1,194,17,71,74
0777_jpg.rf.4ee4cb0833ce5eee4c793d2f68934d4a.jpg,1,324,20,19,20
0636_jpg.rf.4e5ea05131b13774122638253d1c8222.jpg,1,128,20,61,62
0123_png_jpg.rf.4e7b610b12c7b041ca4d41ff4f57b2cc.jpg,1,208,43,100,105
0051_jpg.rf.4f9921d77262250f714851f520b965f8.jpg,1,424,22,33,34
0701_jpg.rf.504d615f392e67781d029d0b267e838b.jpg,1,230,21,38,38
0040_jpg.rf.5032eeaa525810412e0774f85cceef99.jpg,1,214,9,133,131
0916_jpg.rf.503e67552b256fffc1007c480903bae7.jpg,1,149,18,51,53
0529_png_jpg.rf.50e259d75bbebb9837e9008f0fa077df.jpg,1,103,28,13,17
1033_jpg.rf.51146d905858eba383134be3cd0df3cf.jpg,1,59,2,260,262
0075_jpg.rf.5118715d8c4067570a6a6dee7885305a.jpg,1,264,9,176,173
0751_png_jpg.rf.51c8263607ba657609e2e0c69ead9d8d.jpg,1,269,21,71,73
0252_jpg.rf.51718c0f04301e9ca99fd54f3d0940a3.jpg,1,289,17,19,19
0590_png_jpg.rf.51bba33a85ebb0dfe0015e9a923a25f7.jpg,1,239,33,36,40
0858_png_jpg.rf.5194e751166dd7ae5a54d5f27057708b.jpg,1,213,40,67,67
0592_png_jpg.rf.51ee79b26b0c5d606b7de55487300ddb.jpg,1,184,38,90,93
