filename,width,height,class,xmin,ymin,xmax,ymax
0095_jpg.rf.415ed027a49aba45717ec253c27f77bc.jpg,640,264,Black Ball,440,7,582,156
1251_jpg.rf.414f46343e5564ab7ae21566183b3b35.jpg,640,264,Silver Ball,163,16,216,69
1251_jpg.rf.414f46343e5564ab7ae21566183b3b35.jpg,640,264,Silver Ball,369,15,401,48
1264_jpg.rf.4194e312227b03767d87f3e30bc1c3d6.jpg,640,264,Black Ball,298,20,330,53
1264_jpg.rf.4194e312227b03767d87f3e30bc1c3d6.jpg,640,264,Silver Ball,341,20,380,60
0167_jpg.rf.414f200910e07712e2d347dd7d59870e.jpg,640,264,Black Ball,323,17,392,84
0792_png_jpg.rf.415d7dbdacf73496e1d9012cbfd2ebe5.jpg,640,264,Silver Ball,368,23,417,73
0792_png_jpg.rf.415d7dbdacf73496e1d9012cbfd2ebe5.jpg,640,264,Black Ball,346,32,370,68
0792_png_jpg.rf.415d7dbdacf73496e1d9012cbfd2ebe5.jpg,640,264,Black Ball,204,30,227,56
0792_png_jpg.rf.415d7dbdacf73496e1d9012cbfd2ebe5.jpg,640,264,Silver Ball,82,32,118,71
0792_png_jpg.rf.415d7dbdacf73496e1d9012cbfd2ebe5.jpg,640,264,Silver Ball,75,28,91,46
0792_png_jpg.rf.415d7dbdacf73496e1d9012cbfd2ebe5.jpg,640,264,Silver Ball,40,24,60,45
0102_png_jpg.rf.41b001738bb7bdf58fd2b52bc9e91a88.jpg,640,264,Black Ball,445,25,478,57
0102_png_jpg.rf.41b001738bb7bdf58fd2b52bc9e91a88.jpg,640,264,Black Ball,300,34,337,68
0102_png_jpg.rf.41b001738bb7bdf58fd2b52bc9e91a88.jpg,640,264,Silver Ball,361,27,406,63
0102_png_jpg.rf.41b001738bb7bdf58fd2b52bc9e91a88.jpg,640,264,Silver Ball,410,34,441,57
0552_png_jpg.rf.41984897f81be856363184a6db41d3d1.jpg,640,264,Black Ball,143,43,238,150
0552_png_jpg.rf.41984897f81be856363184a6db41d3d1.jpg,640,264,Silver Ball,35,50,150,176
0552_png_jpg.rf.41984897f81be856363184a6db41d3d1.jpg,640,264,Silver Ball,61,23,132,71
0552_png_jpg.rf.41984897f81be856363184a6db41d3d1.jpg,640,264,Black Ball,0,27,28,65
0170_png_jpg.rf.4199517d624f759f9b1ca9d3dc4bb7cb.jpg,640,264,Silver Ball,0,79,75,264
0170_png_jpg.rf.4199517d624f759f9b1ca9d3dc4bb7cb.jpg,640,264,Black Ball,356,54,544,249
1229_jpg.rf.41b6ecb58678b9c94d1a5dc2517d76e1.jpg,640,264,Silver Ball,240,18,288,66
1229_jpg.rf.41b6ecb58678b9c94d1a5dc2517d76e1.jpg,640,264,Black Ball,333,20,354,41
0850_jpg.rf.41be8b3d35b9f166c33bbd53e491249a.jpg,640,264,Silver Ball,114,13,169,71
0850_jpg.rf.41be8b3d35b9f166c33bbd53e491249a.jpg,640,264,Black Ball,581,11,640,89
0809_png_jpg.rf.41d830669e5a0e8d08fc2424c4654e19.jpg,640,264,Black Ball,230,38,288,113
0809_png_jpg.rf.41d830669e5a0e8d08fc2424c4654e19.jpg,640,264,Silver Ball,104,16,250,166
0809_png_jpg.rf.41d830669e5a0e8d08fc2424c4654e19.jpg,640,264,Silver Ball,97,24,118,45
0809_png_jpg.rf.41d830669e5a0e8d08fc2424c4654e19.jpg,640,264,Silver Ball,0,34,20,73
0809_png_jpg.rf.41d830669e5a0e8d08fc2424c4654e19.jpg,640,264,Silver Ball,0,25,15,41
0644_png_jpg.rf.41caa3f24b70202e77bbaaa6e15b4418.jpg,640,264,Silver Ball,97,15,210,135
0644_png_jpg.rf.41caa3f24b70202e77bbaaa6e15b4418.jpg,640,264,Black Ball,316,37,389,109
0644_png_jpg.rf.41caa3f24b70202e77bbaaa6e15b4418.jpg,640,264,Black Ball,321,21,386,55
0737_png_jpg.rf.41f81a4eb57dd183ef2da6d2ce2ac907.jpg,640,264,Black Ball,145,19,210,89
0737_png_jpg.rf.41f81a4eb57dd183ef2da6d2ce2ac907.jpg,640,264,Black Ball,293,42,379,130
0201_png_jpg.rf.41b4a69bdba83119afa2cd64c6cfb578.jpg,640,264,Black Ball,28,41,82,105
